feature,importance
price_lag_96,0.27354623558115665
dayofyear,0.08451324451436544
rolling_std_7d,0.0704285715493444
rolling_mean_7d,0.05819892664045155
gas_激进_capacity_ratio,0.04685372391044906
rolling_mean_24h,0.043730468883072374
hour_sin,0.03282802743337649
gas_稳健_capacity_ratio,0.03231609956789119
rolling_max_24h,0.03154517192843163
coal_稳健_capacity_ratio,0.030410319651575937
hour,0.028545971461782838
hour_cos,0.028179495890128005
rolling_std_24h,0.027514764480846467
day,0.025976683552768696
coal_保守_capacity_ratio,0.021022583926104475
dayofweek,0.019925393900300688
market_prob_aggressive,0.015504089271219223
coal_激进_capacity_ratio,0.014894645075494642
激进_capacity_ratio,0.01485377813488329
rolling_min_24h,0.013985053302251709
gas_保守_capacity_ratio,0.013644323839293752
market_prob_steady,0.0115987684366311
pre_holiday_1,0.011381382367751847
保守_capacity_ratio,0.011172294360751242
market_prob_conservative,0.01087681757448698
稳健_capacity_ratio,0.01048629238542568
is_holiday,0.00486092236460022
is_weekend,0.004449497077169065
month,0.004206166767634258
minute,0.0015297139960645976
quarter,0.0008909063329590823
post_holiday_1,0.00012966584133743004
