,MAE,RMSE,R2
SVR,70.41472844267531,98.39634806631747,0.11532698162064481
XGBoost,66.23053575243705,89.05438187148503,0.27533813256378936
GBDT,62.344601272218306,86.83865430651414,0.31094959655203835
