日期,机组名称,变动成本电价
2024-01-01,云浮100机组,464.39
2024-01-01,韶关149机组,524.55
2024-01-01,韶关150机组,524.55
2024-01-01,深圳218机组,757.44
2024-01-01,深圳219机组,757.44
2024-01-01,广州214机组,757.44
2024-01-01,广州215机组,757.44
2024-01-01,汕头27机组,419.33
2024-01-01,云浮155机组,514.51
2024-01-01,珠海220机组,699.18
2024-01-01,珠海221机组,699.18
2024-01-01,中山224机组,699.18
2024-01-01,中山225机组,699.18
2024-01-01,中山226机组,699.18
2024-01-01,云浮156机组,514.51
2024-01-01,珠海23机组,399.66
2024-01-01,珠海24机组,399.66
2024-01-01,广州131机组,464.17
2024-01-01,广州132机组,464.17
2024-01-01,韶关158机组,529.55
2024-01-01,东莞233机组,757.44
2024-01-01,东莞234机组,757.44
2024-01-01,湛江80机组,419.33
2024-01-01,深圳355机组,300.0
2024-01-01,湛江81机组,419.33
2024-01-01,阳江361机组,300.0
2024-01-01,阳江362机组,300.0
2024-01-01,深圳356机组,300.0
2024-01-01,深圳357机组,300.0
2024-01-01,深圳358机组,300.0
2024-01-01,阳江363机组,300.0
2024-01-01,阳江364机组,300.0
2024-01-01,中山227机组,699.18
2024-01-01,中山228机组,699.18
2024-01-01,惠州238机组,432.97
2024-01-01,广州250机组,432.97
2024-01-01,广州251机组,432.97
2024-01-01,深圳244机组,432.97
2024-01-01,深圳245机组,432.97
2024-01-01,深圳246机组,432.97
2024-01-01,肇庆252机组,699.18
2024-01-01,肇庆253机组,699.18
2024-01-01,惠州239机组,432.97
2024-01-01,惠州240机组,432.97
2024-01-01,深圳249机组,757.44
2024-01-01,深圳241机组,432.97
2024-01-01,深圳242机组,432.97
2024-01-01,深圳243机组,432.97
2024-01-01,韶关159机组,529.55
2024-01-01,阳江74机组,399.66
2024-01-01,阳江75机组,399.66
2024-01-01,韶关38机组,464.39
2024-01-01,佛山32机组,464.39
2024-01-01,潮州89机组,375.87
2024-01-01,潮州90机组,399.66
2024-01-01,惠州48机组,419.33
2024-01-01,惠州49机组,419.33
2024-01-01,佛山33机组,464.39
2024-01-01,韶关39机组,464.39
2024-01-01,云浮101机组,464.39
2024-01-01,惠州50机组,375.87
2024-01-01,江门66机组,375.87
2024-01-01,汕尾55机组,399.66
2024-01-01,惠州51机组,375.87
2024-01-01,揭阳93机组,375.87
2024-01-01,汕尾56机组,399.66
2024-01-01,佛山34机组,442.4
2024-01-01,揭阳94机组,375.87
2024-01-01,湛江78机组,399.66
2024-01-01,湛江79机组,399.66
2024-01-01,佛山35机组,442.4
2024-01-01,江门67机组,375.87
2024-01-01,梅州109机组,534.55
2024-01-01,梅州110机组,534.55
2024-01-01,茂名85机组,442.4
2024-01-01,湛江82机组,419.33
2024-01-01,肇庆104机组,464.39
2024-01-01,湛江83机组,419.33
2024-01-01,肇庆105机组,464.39
2024-01-01,揭阳95机组,399.66
2024-01-01,广州3机组,419.33
2024-01-01,广州4机组,419.33
2024-01-01,广州1机组,419.33
2024-01-01,广州2机组,419.33
2024-01-01,阳江76机组,399.66
2024-01-01,阳江77机组,399.66
2024-01-01,茂名86机组,464.39
2024-01-01,佛山31机组,464.39
2024-01-01,梅州111机组,534.55
2024-01-01,深圳20机组,419.33
2024-01-01,深圳21机组,419.33
2024-01-01,深圳22机组,419.33
2024-01-01,江门68机组,399.66
2024-01-01,江门69机组,399.66
2024-01-01,广州12机组,419.33
2024-01-01,广州13机组,419.33
2024-01-01,广州14机组,419.33
2024-01-01,广州15机组,419.33
2024-01-01,汕头28机组,399.66
2024-01-01,江门70机组,399.66
2024-01-01,江门71机组,399.66
2024-01-01,汕头29机组,419.33
2024-01-01,汕头25机组,375.87
2024-01-01,河源45机组,442.4
2024-01-01,汕头26机组,375.87
2024-01-02,汕尾161机组,370.87
2024-01-02,汕尾162机组,370.87
2024-01-02,韶关164机组,459.39
2024-01-02,惠州235机组,699.18
2024-01-02,江门254机组,699.18
2024-01-02,肇庆256机组,699.18
2024-01-02,肇庆257机组,699.18
2024-01-02,深圳279机组,757.44
2024-01-02,深圳280机组,757.44
2024-01-02,深圳247机组,451.01
2024-01-02,惠州236机组,699.18
2024-01-02,惠州237机组,699.18
2024-01-02,深圳285机组,757.44
2024-01-02,深圳286机组,757.44
2024-01-02,东莞281机组,757.44
2024-01-02,东莞282机组,757.44
2024-01-02,东莞277机组,757.44
2024-01-02,惠州273机组,757.44
2024-01-02,惠州274机组,757.44
2024-01-02,深圳270机组,757.44
2024-01-02,深圳271机组,757.44
2024-01-02,深圳272机组,757.44
2024-01-02,佛山268机组,757.44
2024-01-02,佛山269机组,757.44
2024-01-02,中山266机组,757.44
2024-01-02,中山267机组,757.44
2024-01-02,珠海262机组,757.44
2024-01-02,珠海263机组,757.44
2024-01-02,中山259机组,699.18
2024-01-02,江门255机组,699.18
2024-01-02,中山260机组,699.18
2024-01-02,中山261机组,699.18
2024-01-02,韶关165机组,459.39
2024-01-02,珠海170机组,399.66
2024-01-02,珠海171机组,399.66
2024-01-02,广州7机组,699.18
2024-01-02,广州8机组,699.18
2024-01-02,东莞289机组,757.44
2024-01-02,湛江172机组,370.87
2024-01-02,湛江173机组,370.87
2024-01-02,广州291机组,661.04
2024-01-02,广州292机组,661.04
2024-01-02,清远293机组,699.18
2024-01-02,清远294机组,699.18
2024-01-02,阳江72机组,370.87
2024-01-02,阳江73机组,370.87
2024-01-02,东莞283机组,699.18
2024-01-02,东莞284机组,699.18
2024-01-02,东莞295机组,699.18
2024-01-02,东莞296机组,699.18
2024-01-02,珠海299机组,699.18
2024-01-02,珠海300机组,699.18
2024-01-02,茂名174机组,370.87
2024-01-02,茂名175机组,370.87
2024-01-02,东莞290机组,757.44
2024-01-02,东莞301机组,699.18
2024-01-02,东莞302机组,699.18
2024-01-02,东莞303机组,699.18
2024-01-02,东莞304机组,699.18
2024-01-02,佛山30机组,464.39
2024-01-02,阳江379机组,0.0
2024-01-02,湛江422机组,0.0
2024-01-02,河源178机组,410.8
2024-01-02,河源179机组,410.8
2024-01-02,阳江469机组,0.0
2024-01-02,深圳287机组,699.18
2024-01-02,广州307机组,699.18
2024-01-02,深圳288机组,699.18
2024-01-02,广州308机组,699.18
2024-01-02,佛山305机组,699.18
2024-01-02,佛山306机组,699.18
2024-01-02,揭阳309机组,790.38
2024-01-02,阳江359机组,300.0
2024-01-02,揭阳310机组,790.38
2024-01-02,阳江360机组,300.0
2024-01-02,江门180机组,437.4
2024-01-02,江门518机组,0.0
2024-01-02,揭阳524机组,0.0
2024-01-02,清远532机组,0.0
2024-01-02,江门547机组,0.0
2024-01-02,江门545机组,0.0
2024-01-02,珠海431机组,0.0
2024-01-02,阳江481机组,0.0
2024-01-02,清远205机组,410.8
2024-01-02,清远206机组,410.8
2024-01-02,惠州482机组,0.0
2024-01-02,汕头331机组,394.66
2024-01-02,汕头332机组,394.66
2024-01-02,惠州275机组,699.18
2024-01-02,惠州276机组,699.18
2024-01-02,东莞333机组,699.18
2024-01-02,云浮209机组,437.4
2024-01-02,湛江423机组,0.0
2024-01-02,湛江424机组,0.0
2024-01-02,广州339机组,699.18
2024-01-02,广州340机组,699.18
2024-01-02,佛山556机组,0.0
2024-01-02,广州346机组,661.04
2024-01-02,广州347机组,661.04
2024-01-02,江门557机组,0.0
2024-01-02,韶关529机组,0.0
2024-01-02,清远562机组,0.0
2024-01-02,清远561机组,0.0
2024-01-02,湛江495机组,0.0
2024-01-02,阳江470机组,0.0
2024-01-02,江门570机组,0.0
2024-01-02,梅州585机组,0.0
2024-01-02,汕尾484机组,0.0
2024-01-02,汕尾485机组,0.0
2024-01-02,梅州612机组,0.0
2024-01-02,广州9机组,661.04
2024-01-02,阳江620机组,0.0
2024-01-02,江门578机组,0.0
2024-01-02,汕头621机组,0.0
2024-01-02,阳江623机组,0.0
2024-01-02,汕尾626机组,0.0
2024-01-02,汕尾627机组,0.0
2024-01-02,韶关628机组,0.0
2024-01-02,揭阳629机组,0.0
2024-01-02,揭阳630机组,0.0
2024-01-02,阳江631机组,0.0
2024-01-02,阳江632机组,0.0
2024-01-02,惠州483机组,0.0
2024-01-02,湛江393机组,0.0
2024-01-02,湛江394机组,0.0
2024-01-02,阳江471机组,0.0
2024-01-02,韶关36机组,0.0
2024-01-02,清远634机组,0.0
2024-01-02,清远635机组,0.0
2024-01-02,中山636机组,0.0
2024-01-02,阳江638机组,0.0
2024-01-02,汕头639机组,0.0
2024-01-02,河源44机组,442.4
2024-01-02,深圳17机组,419.33
2024-01-02,深圳18机组,419.33
2024-01-02,深圳19机组,419.33
2024-01-02,广州5机组,464.39
2024-01-02,广州6机组,464.39
2024-01-02,汕头112机组,375.87
2024-01-02,汕头113机组,375.87
2024-01-02,揭阳92机组,399.66
2024-01-02,其他118机组,464.39
2024-01-02,其他119机组,464.39
2024-01-02,其他120机组,442.4
2024-01-02,其他121机组,442.4
2024-01-02,汕尾116机组,375.87
2024-01-02,汕尾117机组,375.87
2024-01-02,汕尾53机组,399.66
2024-01-02,潮州87机组,399.66
2024-01-02,潮州88机组,375.87
2024-01-02,汕尾54机组,399.66
2024-01-02,梅州106机组,534.55
2024-01-02,韶关40机组,464.39
2024-01-02,韶关41机组,464.39
2024-01-02,韶关42机组,442.4
2024-01-02,韶关43机组,442.4
2024-01-02,梅州124机组,442.4
2024-01-02,东莞128机组,399.66
2024-01-02,东莞129机组,399.66
2024-01-02,中山126机组,459.39
2024-01-02,中山127机组,459.39
2024-01-02,东莞130机组,399.66
2024-01-02,梅州125机组,437.4
2024-01-02,梅州107机组,534.55
2024-01-02,梅州108机组,534.55
2024-01-02,中山229机组,757.44
2024-01-02,江门65机组,399.66
2024-01-02,东莞211机组,699.18
2024-01-02,东莞212机组,699.18
2024-01-02,江门153机组,514.51
2024-01-02,江门154机组,514.51
2024-01-02,茂名84机组,514.51
2024-01-02,佛山147机组,514.51
2024-01-02,佛山148机组,514.51
2024-01-02,珠海222机组,699.18
2024-01-02,珠海223机组,699.18
2024-01-02,云浮139机组,514.51
2024-01-02,云浮140机组,514.51
2024-01-02,云浮100机组,464.39
2024-01-02,韶关149机组,524.55
2024-01-02,韶关150机组,524.55
2024-01-02,深圳218机组,757.44
2024-01-02,深圳219机组,757.44
2024-01-02,广州214机组,757.44
2024-01-02,广州215机组,757.44
2024-01-02,汕头27机组,419.33
2024-01-02,云浮155机组,514.51
2024-01-02,珠海220机组,699.18
2024-01-02,珠海221机组,699.18
2024-01-02,中山224机组,699.18
2024-01-02,中山225机组,699.18
2024-01-02,中山226机组,699.18
2024-01-02,云浮156机组,514.51
2024-01-02,珠海23机组,399.66
2024-01-02,珠海24机组,399.66
2024-01-02,广州131机组,464.17
2024-01-02,广州132机组,464.17
2024-01-02,韶关158机组,529.55
2024-01-02,东莞233机组,757.44
2024-01-02,东莞234机组,757.44
2024-01-02,湛江80机组,419.33
2024-01-02,深圳355机组,300.0
2024-01-02,湛江81机组,419.33
2024-01-02,阳江361机组,300.0
2024-01-02,阳江362机组,300.0
2024-01-02,深圳356机组,300.0
2024-01-02,深圳357机组,300.0
2024-01-02,深圳358机组,300.0
2024-01-02,阳江363机组,300.0
2024-01-02,阳江364机组,300.0
2024-01-02,中山227机组,699.18
