时间,温度,10米水平风速,10米垂直风速,降水,辐照
2024-11-27 12:00:00,291.0553894042969,-2.190233469009399,-4.130915641784668,0.0,3.599998988149111e-12
2024-11-27 13:00:00,290.9594116210938,-2.198761224746704,-4.263245582580566,0.0,3.599998988149111e-12
2024-11-27 14:00:00,290.3963317871094,-2.239741802215576,-4.348727703094482,0.0,3.599998988149111e-12
2024-11-27 15:00:00,290.1370849609375,-2.28380560874939,-4.345524311065674,1.376153413445991e-05,3.599998988149111e-12
2024-11-27 16:00:00,289.9725646972656,-2.283756494522095,-4.428119659423828,0.0001527530315570402,3.599998988149111e-12
2024-11-27 17:00:00,289.5067749023438,-2.375715970993042,-4.524467945098877,0.0001775237876699975,3.599998988149111e-12
2024-11-27 18:00:00,289.4257202148438,-2.450478315353394,-4.610086441040039,0.000104587662974609,3.599998988149111e-12
2024-11-27 19:00:00,289.2941284179688,-2.515348434448242,-4.650612354278564,2.064230120168986e-06,3.599998988149111e-12
2024-11-27 20:00:00,289.1323547363281,-2.584868907928467,-4.767277240753174,0.0,3.599998988149111e-12
2024-11-27 21:00:00,289.0440063476562,-2.55931830406189,-4.889912128448486,6.880767067229954e-07,3.599998988149111e-12
2024-11-27 22:00:00,289.4747924804688,-2.343383312225342,-4.659929275512695,1.857807063743167e-05,3.599998988149111e-12
2024-11-27 23:00:00,289.4513549804688,-2.339986801147461,-4.793478012084961,2.752306826891981e-06,5587.3017578125
2024-11-28 00:00:00,289.5772399902344,-2.364726543426514,-5.187828540802002,1.307345787182612e-05,226854.96875
2024-11-28 01:00:00,289.7254943847656,-2.413332223892212,-5.494600772857666,2.752306826891981e-06,719965.4375
2024-11-28 02:00:00,291.9776916503906,-2.570112228393555,-5.812349796295166,1.376153413445991e-06,1264389.125
2024-11-28 03:00:00,292.1856384277344,-2.630997896194458,-5.981746673583984,0.0,1778488.0
2024-11-28 04:00:00,292.383544921875,-2.61760401725769,-6.015061378479004,0.0,2164478.25
2024-11-28 05:00:00,293.585205078125,-2.577659368515015,-5.912630081176758,0.0,2266961.25
2024-11-28 06:00:00,293.7359619140625,-2.499729156494141,-5.766790390014648,0.0,2108731.75
2024-11-28 07:00:00,293.8378295898438,-2.489261388778687,-5.601502418518066,0.0,1689524.125
2024-11-28 08:00:00,293.5237426757812,-2.441102027893066,-5.334545612335205,0.0,1170760.75
2024-11-28 09:00:00,293.4892883300781,-2.313530206680298,-4.831015110015869,0.0,558934.6875
2024-11-28 10:00:00,291.2291259765625,-1.454655051231384,-4.208688259124756,0.0,80284.8125
2024-11-28 11:00:00,291.0303039550781,-1.464910984039307,-4.403355121612549,0.0,3.599998988149111e-12
2024-11-28 12:00:00,290.9771118164062,-1.569076657295227,-4.456337451934814,0.0,3.599998988149111e-12
2024-11-28 13:00:00,290.8041687011719,-1.662249803543091,-4.552675724029541,0.0,3.599998988149111e-12
2024-11-28 14:00:00,289.8005981445312,-1.772869944572449,-4.521837711334229,0.0,3.599998988149111e-12
2024-11-28 15:00:00,289.2811584472656,-1.880806565284729,-4.488805770874023,0.0,3.599998988149111e-12
2024-11-28 16:00:00,289.1086120605469,-1.926674008369446,-4.42023754119873,6.880767067229954e-07,3.599998988149111e-12
